name,status,taxa,state_count
"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically Endangered,Reptiles,1
Dusky Sea Snake,Endangered,Reptiles,1
Isis Tamarind,Endangered,Plants,1
Dwarf Heath Casuarina,Endangered,Plants,1
"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Plants,1
Woolly Sheoak,Vulnerable,Plants,1
-,Endangered,Plants,1
Nielsen Park She-oak,Endangered,Plants,1
Mount Compass Oak-bush,Endangered,Plants,1
Nabiac Casuarina,Vulnerable,Plants,1
-,Endangered,Plants,2
Twisted Sheoak,Vulnerable,Plants,1
"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Plants,1
Torrington Pea,Endangered,Plants,2
Yass Daisy,Vulnerable,Plants,2
Ammonite Pinwheel Snail,Critically Endangered,Invertebrates,1
-,Extinct,Plants,1
"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Plants,4
-,Extinct,Plants,1
"Whitesnout Anemonefish, McCulloch's Anemonefish",Critically Endangered,Fish,1
-,Endangered,Plants,2
"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Birds,3
Carpentarian Grasswren,Endangered,Birds,2
Short-tailed Grasswren (Flinders Ranges),Vulnerable,Birds,1
"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Birds,1
Thick-billed Grasswren,Vulnerable,Birds,3
"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Birds,1
"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,Birds,3
"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,Birds,1
Western Grasswren (Gawler Ranges),Vulnerable,Birds,1
"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Birds,1
-,Critically Endangered,Plants,1
Giant Andersonia,Critically Endangered,Plants,1
Slender Andersonia,Endangered,Plants,1
Two Peoples Bay Andersonia,Vulnerable,Plants,1
-,Critically Endangered,Plants,1
-,Critically Endangered,Plants,1
Straggling Androcalva,Critically Endangered,Plants,1
-,Critically Endangered,Plants,1
Headland Commersonia,Critically Endangered,Plants,1
Pearl-like Androcalva,Endangered,Plants,1
-,Vulnerable,Plants,1
Sandy Hollow Commersonia,Endangered,Plants,1
Charmhaven Apple,Vulnerable,Plants,1
Sandstone Rough-barked Apple,Vulnerable,Plants,1
"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Plants,1
Dwarf Green Kangaroo Paw,Vulnerable,Plants,1
Fassifern Blind Snake,Critically Endangered,Reptiles,1
"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Reptiles,2
