taxa,count,percentage,x,y,x2,y2
Plants,1502,68.3,0.0,0.0,409.6363636363636,350.0
Birds,186,8.5,411.6363636363636,0.0,600.0,93.26647564469914
Mammals,152,6.9,411.6363636363636,93.26647564469914,600.0,169.4842406876791
Invertebrates,126,5.7,411.6363636363636,169.4842406876791,600.0,232.66475644699142
Reptiles,102,4.6,411.6363636363636,232.66475644699142,600.0,283.810888252149
Fish,79,3.6,411.6363636363636,283.810888252149,600.0,323.42406876790835
Frogs,53,2.4,411.6363636363636,323.42406876790835,600.0,350.00000000000006
