CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Yakutian Bar-tailed Godwit,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,1067_2_1985_340296_u153b,7.0,,0.0,,,,,,,,,,,,,,,,2.0,,0.0,,18.0,7.0,9.0,2.0,0.0,6.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Northern Territory,-11.98931535,134.5789613,Unknown,1067_2_1985_340297_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361.0,,,918.0,,453.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-34.69551507,116.1574097,Unknown,1067_2_1985_340299_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-35.92920857,137.2437819,Unknown,1067_2_1985_340301_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340308_u153b,,,,,,,,,,,,,,,14.0,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,1.0,,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,1067_2_1985_340313_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-15.61219754,128.4771097,Unknown,1067_2_1985_340320_u153b,,,,,,,,,,,,,,,,,,0.0,,,,,,,,9.0,,,,,,,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340321_u153b,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,6.0,,,,,,,,55.0,11.0,22.0,7.0,,5.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340322_u153b,,,,,,,,,,,,5.0,2.0,0.0,87.0,,63.0,,,,2.0,0.0,,0.0,,31.0,4.0,0.0,0.0,0.0,,,,0.0,3.0,37.0,7.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-29.72878088,126.6940185,Unknown,1067_2_1985_340323_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,250.0,0.0,,88.0,73.0,112.0,4.0,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-35.92920857,137.2437819,Unknown,1067_2_1985_340324_u153b,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340332_u153b,,,,,,,,,,,,0.0,,2.0,7.0,2.0,2.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,1067_2_1985_340335_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,3.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-34.69551507,116.1574097,Unknown,1067_2_1985_340336_u153b,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,1067_2_1985_340337_u153b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5.0,,0.0,4.0,,10.0,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340339_u153b,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,6.0,0.0,2.0,1.0,1.0,1.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,1067_2_1985_340340_u153b,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-29.90694164,115.3829825,Unknown,1067_2_1985_340341_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340347_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340349_u153b,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340351_u153b,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,35.0,15.0,0.0,3.0,6.0,2.0,7.0,4.0,5.0,8.0,7.0,4.0,1.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340352_u153b,,,,,,,,,,,,,,,,120.0,,,,,,,,,47.0,,,,,,,0.0,0.0,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340355_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340358_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,51.0,0.0,12.0,0.0,0.0,2.0,0.0,7.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340359_u153b,,,8.0,22.0,42.0,56.0,67.0,,,,,,,,,,,,,,,,,,150.0,80.0,14.0,,8.0,0.0,22.0,28.0,10.0,90.0,12.0,0.0,13.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-34.95748829,137.4743807,Unknown,1067_2_1985_340368_u153b,,,,,,,,,,,,,,,,127.0,,,,,,,,21.0,0.0,0.0,4.0,,,,,,35.0,,,,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340371_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340373_u153b,,6.0,572.0,,560.0,720.0,,,,,283.0,846.0,,,,220.0,253.0,,,71.0,,0.0,,270.0,55.0,1.0,,0.0,125.0,,297.0,32.0,48.0,64.0,48.0,70.0,56.0,28.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,1067_2_1985_340375_u153b,,,,,,,,,,,,,,,,,,,,,,0.0,,,486.0,480.0,15.0,29.0,8.0,463.0,0.0,428.0,24.0,10.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Northern Territory,-11.98931535,134.5789613,Unknown,1067_2_1985_340379_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,100.0,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340385_u153b,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340386_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,21.0,46.0,15.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-34.15050767,116.6498318,Unknown,1067_2_1985_340387_u153b,,,,,,,,,,,,,,7.0,2.0,0.0,3.0,,,,6.0,,0.0,2.0,4.0,0.0,4.0,,,0.0,,0.0,3.0,1.0,0.0,2.0,2.0,1.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340388_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340390_u153b,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.0,2.0,,,1.0,,10.0,0.0,0.0,0.0,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76295029,136.9454822,Unknown,1067_2_1985_340391_u153b,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340395_u153b,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,71.0,,,,922.0,315.0,604.0,254.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340398_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,4.0,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340399_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,0.0,0.0,0.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,1067_2_1985_340400_u153b,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,1067_2_1985_340402_u153b,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340403_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,40.0,,31.0,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340407_u153b,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,62.0,7.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,5.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340409_u153b,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0
